(Lookback, Entry, Exit, Stop-loss)
(105, 0.8, -0.2, 2.9): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(105, 0.8, -0.2, 3.0): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(105, 0.8, -0.2, 3.1): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(105, 0.8, -0.2, 3.2): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(105, 0.8, 0.0, 2.8): Return: 0.07%, Hit Ratio: 56.88%, Max Drawdown: 0.02%
(105, 0.8, 0.0, 2.9): Return: 0.07%, Hit Ratio: 56.88%, Max Drawdown: 0.02%
(105, 0.8, 0.0, 3.0): Return: 0.07%, Hit Ratio: 56.88%, Max Drawdown: 0.02%
(105, 0.8, 0.0, 3.1): Return: 0.07%, Hit Ratio: 56.88%, Max Drawdown: 0.02%
(105, 0.8, 0.0, 3.2): Return: 0.07%, Hit Ratio: 56.88%, Max Drawdown: 0.02%
(105, 0.8, 0.1, 2.8): Return: 0.07%, Hit Ratio: 57.66%, Max Drawdown: 0.01%
(105, 0.8, 0.1, 2.9): Return: 0.07%, Hit Ratio: 57.66%, Max Drawdown: 0.01%
(105, 0.8, 0.1, 3.0): Return: 0.07%, Hit Ratio: 57.66%, Max Drawdown: 0.01%
(105, 0.8, 0.1, 3.1): Return: 0.07%, Hit Ratio: 57.66%, Max Drawdown: 0.01%
(105, 0.8, 0.1, 3.2): Return: 0.07%, Hit Ratio: 57.66%, Max Drawdown: 0.01%
(105, 0.9, -0.1, 2.8): Return: 0.07%, Hit Ratio: 61.29%, Max Drawdown: 0.01%
(105, 0.9, -0.1, 2.9): Return: 0.07%, Hit Ratio: 61.29%, Max Drawdown: 0.01%
(105, 0.9, -0.1, 3.0): Return: 0.07%, Hit Ratio: 61.29%, Max Drawdown: 0.01%
(105, 0.9, -0.1, 3.1): Return: 0.07%, Hit Ratio: 61.29%, Max Drawdown: 0.01%
(105, 0.9, -0.1, 3.2): Return: 0.07%, Hit Ratio: 61.29%, Max Drawdown: 0.01%
(105, 0.9, 0.0, 2.8): Return: 0.07%, Hit Ratio: 59.18%, Max Drawdown: 0.01%
(105, 0.9, 0.0, 2.9): Return: 0.07%, Hit Ratio: 59.18%, Max Drawdown: 0.01%
(105, 0.9, 0.0, 3.0): Return: 0.07%, Hit Ratio: 59.18%, Max Drawdown: 0.01%
(105, 0.9, 0.0, 3.1): Return: 0.07%, Hit Ratio: 59.18%, Max Drawdown: 0.01%
(105, 0.9, 0.0, 3.2): Return: 0.07%, Hit Ratio: 59.18%, Max Drawdown: 0.01%
(110, 0.8, -0.1, 2.8): Return: 0.07%, Hit Ratio: 60.4%, Max Drawdown: 0.01%
(110, 0.8, -0.1, 2.9): Return: 0.07%, Hit Ratio: 60.4%, Max Drawdown: 0.01%
(110, 0.8, -0.1, 3.0): Return: 0.07%, Hit Ratio: 60.4%, Max Drawdown: 0.01%
(110, 0.8, -0.1, 3.1): Return: 0.07%, Hit Ratio: 60.4%, Max Drawdown: 0.01%
(110, 0.8, -0.1, 3.2): Return: 0.07%, Hit Ratio: 60.4%, Max Drawdown: 0.01%
(110, 0.8, 0.1, 2.8): Return: 0.07%, Hit Ratio: 57.27%, Max Drawdown: 0.01%
(110, 0.8, 0.1, 2.9): Return: 0.07%, Hit Ratio: 57.27%, Max Drawdown: 0.01%
(110, 0.8, 0.1, 3.0): Return: 0.07%, Hit Ratio: 57.27%, Max Drawdown: 0.01%
(110, 0.8, 0.1, 3.1): Return: 0.07%, Hit Ratio: 57.27%, Max Drawdown: 0.01%
(110, 0.8, 0.1, 3.2): Return: 0.07%, Hit Ratio: 57.27%, Max Drawdown: 0.01%
(110, 0.9, -0.2, 2.8): Return: 0.07%, Hit Ratio: 61.8%, Max Drawdown: 0.01%
(110, 0.9, -0.2, 2.9): Return: 0.07%, Hit Ratio: 61.8%, Max Drawdown: 0.01%
(110, 0.9, -0.2, 3.0): Return: 0.07%, Hit Ratio: 61.8%, Max Drawdown: 0.01%
(110, 0.9, -0.2, 3.1): Return: 0.07%, Hit Ratio: 61.8%, Max Drawdown: 0.01%
(110, 0.9, -0.2, 3.2): Return: 0.07%, Hit Ratio: 61.8%, Max Drawdown: 0.01%
(110, 0.9, -0.1, 2.8): Return: 0.07%, Hit Ratio: 61.96%, Max Drawdown: 0.01%
(110, 0.9, -0.1, 2.9): Return: 0.07%, Hit Ratio: 61.96%, Max Drawdown: 0.01%
(110, 0.9, -0.1, 3.0): Return: 0.07%, Hit Ratio: 61.96%, Max Drawdown: 0.01%
(110, 0.9, -0.1, 3.1): Return: 0.07%, Hit Ratio: 61.96%, Max Drawdown: 0.01%
(110, 0.9, -0.1, 3.2): Return: 0.07%, Hit Ratio: 61.96%, Max Drawdown: 0.01%
(110, 0.9, 0.1, 2.8): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(110, 0.9, 0.1, 2.9): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(110, 0.9, 0.1, 3.0): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(110, 0.9, 0.1, 3.1): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(110, 0.9, 0.1, 3.2): Return: 0.07%, Hit Ratio: 60.2%, Max Drawdown: 0.01%
(105, 0.8, 0.2, 2.8): Return: 0.06%, Hit Ratio: 59.13%, Max Drawdown: 0.02%
(105, 0.8, 0.2, 2.9): Return: 0.06%, Hit Ratio: 59.13%, Max Drawdown: 0.02%
(105, 0.8, 0.2, 3.0): Return: 0.06%, Hit Ratio: 59.13%, Max Drawdown: 0.02%
(105, 0.8, 0.2, 3.1): Return: 0.06%, Hit Ratio: 59.13%, Max Drawdown: 0.02%
(105, 0.8, 0.2, 3.2): Return: 0.06%, Hit Ratio: 59.13%, Max Drawdown: 0.02%
(105, 0.9, -0.2, 2.8): Return: 0.06%, Hit Ratio: 61.11%, Max Drawdown: 0.01%
(105, 0.9, -0.2, 2.9): Return: 0.06%, Hit Ratio: 61.11%, Max Drawdown: 0.01%
(105, 0.9, -0.2, 3.0): Return: 0.06%, Hit Ratio: 61.11%, Max Drawdown: 0.01%
(105, 0.9, -0.2, 3.1): Return: 0.06%, Hit Ratio: 61.11%, Max Drawdown: 0.01%
(105, 0.9, -0.2, 3.2): Return: 0.06%, Hit Ratio: 61.11%, Max Drawdown: 0.01%
(105, 0.9, 0.1, 2.8): Return: 0.06%, Hit Ratio: 59.6%, Max Drawdown: 0.01%
(105, 0.9, 0.1, 2.9): Return: 0.06%, Hit Ratio: 59.6%, Max Drawdown: 0.01%
(105, 0.9, 0.1, 3.0): Return: 0.06%, Hit Ratio: 59.6%, Max Drawdown: 0.01%
(105, 0.9, 0.1, 3.1): Return: 0.06%, Hit Ratio: 59.6%, Max Drawdown: 0.01%
(105, 0.9, 0.1, 3.2): Return: 0.06%, Hit Ratio: 59.6%, Max Drawdown: 0.01%
(100, 0.8, -0.2, 2.8): Return: 0.06%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(100, 0.8, -0.2, 2.9): Return: 0.06%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(100, 0.8, -0.2, 3.0): Return: 0.06%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(100, 0.8, -0.2, 3.1): Return: 0.06%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
(100, 0.8, -0.2, 3.2): Return: 0.06%, Hit Ratio: 60.61%, Max Drawdown: 0.02%
