(Lookback, Entry, Exit, Stop-loss)
(35, 1.6, -0.4, 3.5): Return: 0.16%, Hit Ratio: 60.98%, Max Drawdown: 0.06%
(35, 1.7, -0.4, 3.6): Return: 0.16%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(35, 1.7, -0.4, 3.7): Return: 0.16%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(30, 1.7, -0.4, 3.5): Return: 0.16%, Hit Ratio: 63.89%, Max Drawdown: 0.05%
(30, 1.7, -0.4, 3.6): Return: 0.16%, Hit Ratio: 63.89%, Max Drawdown: 0.05%
(30, 1.7, -0.4, 3.7): Return: 0.16%, Hit Ratio: 63.89%, Max Drawdown: 0.05%
(35, 1.3, -0.3, 3.6): Return: 0.16%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.3, -0.3, 3.7): Return: 0.16%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.5, -0.4, 3.6): Return: 0.16%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(35, 1.5, -0.4, 3.7): Return: 0.16%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(35, 1.5, -0.3, 3.5): Return: 0.16%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(35, 1.6, -0.4, 3.5): Return: 0.16%, Hit Ratio: 60.98%, Max Drawdown: 0.06%
(35, 1.7, -0.4, 3.6): Return: 0.16%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(35, 1.7, -0.4, 3.7): Return: 0.16%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(40, 1.3, -0.3, 3.5): Return: 0.16%, Hit Ratio: 59.62%, Max Drawdown: 0.1%
(40, 1.3, -0.3, 3.6): Return: 0.16%, Hit Ratio: 59.62%, Max Drawdown: 0.1%
(40, 1.3, -0.3, 3.7): Return: 0.16%, Hit Ratio: 59.62%, Max Drawdown: 0.1%
(20, 1.3, -0.6, 3.3): Return: 0.15%, Hit Ratio: 56.9%, Max Drawdown: 0.13%
(20, 1.3, -0.6, 3.4): Return: 0.15%, Hit Ratio: 56.9%, Max Drawdown: 0.13%
(20, 1.3, -0.6, 3.5): Return: 0.15%, Hit Ratio: 56.9%, Max Drawdown: 0.13%
(20, 1.3, -0.6, 3.6): Return: 0.15%, Hit Ratio: 56.9%, Max Drawdown: 0.13%
(20, 1.3, -0.6, 3.7): Return: 0.15%, Hit Ratio: 56.9%, Max Drawdown: 0.13%
(20, 1.6, -0.7, 3.3): Return: 0.15%, Hit Ratio: 61.11%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.4): Return: 0.15%, Hit Ratio: 61.11%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.5): Return: 0.15%, Hit Ratio: 61.11%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.6): Return: 0.15%, Hit Ratio: 61.11%, Max Drawdown: 0.06%
(20, 1.6, -0.7, 3.7): Return: 0.15%, Hit Ratio: 61.11%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.3): Return: 0.15%, Hit Ratio: 56.76%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.4): Return: 0.15%, Hit Ratio: 56.76%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.5): Return: 0.15%, Hit Ratio: 56.76%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.6): Return: 0.15%, Hit Ratio: 56.76%, Max Drawdown: 0.06%
(20, 1.6, -0.6, 3.7): Return: 0.15%, Hit Ratio: 56.76%, Max Drawdown: 0.06%
(35, 1.3, -0.3, 3.5): Return: 0.15%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.4, -0.3, 3.5): Return: 0.15%, Hit Ratio: 60.42%, Max Drawdown: 0.1%
(35, 1.5, -0.5, 3.6): Return: 0.15%, Hit Ratio: 60.47%, Max Drawdown: 0.09%
(35, 1.5, -0.5, 3.7): Return: 0.15%, Hit Ratio: 60.47%, Max Drawdown: 0.09%
(35, 1.6, -0.7, 3.6): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(35, 1.6, -0.7, 3.7): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(35, 1.6, -0.5, 3.5): Return: 0.15%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(35, 1.6, -0.3, 3.3): Return: 0.15%, Hit Ratio: 58.54%, Max Drawdown: 0.05%
(35, 1.6, -0.3, 3.4): Return: 0.15%, Hit Ratio: 58.54%, Max Drawdown: 0.05%
(30, 1.5, -0.4, 3.5): Return: 0.15%, Hit Ratio: 59.57%, Max Drawdown: 0.1%
(30, 1.5, -0.4, 3.6): Return: 0.15%, Hit Ratio: 59.57%, Max Drawdown: 0.1%
(30, 1.5, -0.4, 3.7): Return: 0.15%, Hit Ratio: 59.57%, Max Drawdown: 0.1%
(30, 1.7, -0.5, 3.5): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(30, 1.7, -0.5, 3.6): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(30, 1.7, -0.5, 3.7): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(35, 1.3, -0.3, 3.5): Return: 0.15%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.4, -0.3, 3.5): Return: 0.15%, Hit Ratio: 60.42%, Max Drawdown: 0.1%
(35, 1.5, -0.5, 3.6): Return: 0.15%, Hit Ratio: 60.47%, Max Drawdown: 0.09%
(35, 1.5, -0.5, 3.7): Return: 0.15%, Hit Ratio: 60.47%, Max Drawdown: 0.09%
(35, 1.6, -0.7, 3.6): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(35, 1.6, -0.7, 3.7): Return: 0.15%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(35, 1.6, -0.5, 3.5): Return: 0.15%, Hit Ratio: 61.54%, Max Drawdown: 0.06%
(35, 1.6, -0.3, 3.3): Return: 0.15%, Hit Ratio: 58.54%, Max Drawdown: 0.05%
(35, 1.6, -0.3, 3.4): Return: 0.15%, Hit Ratio: 58.54%, Max Drawdown: 0.05%
(40, 1.3, -0.4, 3.5): Return: 0.15%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(40, 1.3, -0.4, 3.6): Return: 0.15%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(40, 1.3, -0.4, 3.7): Return: 0.15%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(20, 1.3, -0.5, 3.3): Return: 0.14%, Hit Ratio: 54.24%, Max Drawdown: 0.13%
(20, 1.3, -0.5, 3.4): Return: 0.14%, Hit Ratio: 54.24%, Max Drawdown: 0.13%
(20, 1.3, -0.5, 3.5): Return: 0.14%, Hit Ratio: 54.24%, Max Drawdown: 0.13%
(20, 1.3, -0.5, 3.6): Return: 0.14%, Hit Ratio: 54.24%, Max Drawdown: 0.13%
(20, 1.3, -0.5, 3.7): Return: 0.14%, Hit Ratio: 54.24%, Max Drawdown: 0.13%
(35, 1.3, -0.4, 3.6): Return: 0.14%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.3, -0.4, 3.7): Return: 0.14%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.4, -0.4, 3.6): Return: 0.14%, Hit Ratio: 60.42%, Max Drawdown: 0.1%
(35, 1.4, -0.4, 3.7): Return: 0.14%, Hit Ratio: 60.42%, Max Drawdown: 0.1%
(35, 1.5, -0.4, 3.5): Return: 0.14%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(35, 1.7, -0.5, 3.6): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.06%
(35, 1.7, -0.5, 3.7): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.06%
(35, 1.7, -0.4, 3.5): Return: 0.14%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(35, 1.3, -0.4, 3.6): Return: 0.14%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.3, -0.4, 3.7): Return: 0.14%, Hit Ratio: 57.69%, Max Drawdown: 0.1%
(35, 1.4, -0.4, 3.6): Return: 0.14%, Hit Ratio: 60.42%, Max Drawdown: 0.1%
(35, 1.4, -0.4, 3.7): Return: 0.14%, Hit Ratio: 60.42%, Max Drawdown: 0.1%
(35, 1.5, -0.4, 3.5): Return: 0.14%, Hit Ratio: 60.0%, Max Drawdown: 0.09%
(35, 1.7, -0.5, 3.6): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.06%
(35, 1.7, -0.5, 3.7): Return: 0.14%, Hit Ratio: 62.5%, Max Drawdown: 0.06%
(35, 1.7, -0.4, 3.5): Return: 0.14%, Hit Ratio: 63.64%, Max Drawdown: 0.06%
(20, 1.7, -0.4, 3.3): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.08%
(20, 1.7, -0.4, 3.4): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.08%
(20, 1.7, -0.4, 3.5): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.08%
(20, 1.7, -0.4, 3.6): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.08%
(20, 1.7, -0.4, 3.7): Return: 0.13%, Hit Ratio: 57.14%, Max Drawdown: 0.08%
(35, 1.3, -0.5, 3.6): Return: 0.13%, Hit Ratio: 58.0%, Max Drawdown: 0.1%
(35, 1.3, -0.5, 3.7): Return: 0.13%, Hit Ratio: 58.0%, Max Drawdown: 0.1%
(35, 1.4, -0.5, 3.6): Return: 0.13%, Hit Ratio: 60.87%, Max Drawdown: 0.1%
(35, 1.4, -0.5, 3.7): Return: 0.13%, Hit Ratio: 60.87%, Max Drawdown: 0.1%
(35, 1.4, -0.4, 3.5): Return: 0.13%, Hit Ratio: 60.42%, Max Drawdown: 0.1%
(35, 1.5, -0.5, 3.5): Return: 0.13%, Hit Ratio: 60.47%, Max Drawdown: 0.09%
(35, 1.5, -0.3, 3.3): Return: 0.13%, Hit Ratio: 57.78%, Max Drawdown: 0.09%
(35, 1.5, -0.3, 3.4): Return: 0.13%, Hit Ratio: 57.78%, Max Drawdown: 0.09%
(35, 1.6, -0.7, 3.5): Return: 0.13%, Hit Ratio: 63.89%, Max Drawdown: 0.06%
(35, 1.6, -0.6, 3.6): Return: 0.13%, Hit Ratio: 60.53%, Max Drawdown: 0.06%
(35, 1.6, -0.6, 3.7): Return: 0.13%, Hit Ratio: 60.53%, Max Drawdown: 0.06%
(35, 1.6, -0.4, 3.3): Return: 0.13%, Hit Ratio: 58.54%, Max Drawdown: 0.06%
(35, 1.6, -0.4, 3.4): Return: 0.13%, Hit Ratio: 58.54%, Max Drawdown: 0.06%
